Control;Card no;Time;TimeTenthsOfSeconds;Received time
33;12345678;0:20;200;2024-03-10 14:17:12.526235
33;12345679;0:21;210;2024-03-10 14:17:53.923326
33;12345680;0:22;220;2024-03-10 14:28:50.156109
33;12345681;0:23;230;2024-03-10 21:08:28.022563
33;12345683;0:25;250;2024-03-10 21:09:46.261158
33;12345678;0:20;200;2024-03-10 14:17:12.526235
33;12345679;0:21;210;2024-03-10 14:17:53.923326
33;12345680;0:22;220;2024-03-10 14:28:50.156109
33;12345681;0:23;230;2024-03-10 21:08:28.022563
33;12345683;0:25;250;2024-03-10 21:09:46.261158
33;12345678;0:20;200;2024-03-10 14:17:12.526235
33;12345679;0:21;210;2024-03-10 14:17:53.923326
33;12345680;0:22;220;2024-03-10 14:28:50.156109
33;12345681;0:23;230;2024-03-10 21:08:28.022563
33;12345683;0:25;250;2024-03-10 21:09:46.261158
33;12345678;0:20;200;2024-03-10 14:17:12.526235
33;12345679;0:21;210;2024-03-10 14:17:53.923326
33;12345680;0:22;220;2024-03-10 14:28:50.156109
33;12345681;0:23;230;2024-03-10 21:08:28.022563
33;12345683;0:25;250;2024-03-10 21:09:46.261158
33;12345678;0:20;200;2024-03-10 14:17:12.526235
33;12345679;0:21;210;2024-03-10 14:17:53.923326
33;12345680;0:22;220;2024-03-10 14:28:50.156109
33;12345681;0:23;230;2024-03-10 21:08:28.022563
33;12345683;0:25;250;2024-03-10 21:09:46.261158
