Control;Card no;Time;TimeTenthOfSeconds;ReceivedTime
0;12345678;2:0;1200;2024-03-14 21:56:15.952898
1;12345678;2:0;1200;2024-03-14 21:56:16.453688
2;12345678;2:0;1200;2024-03-14 21:56:16.953959
3;12345678;2:0;1200;2024-03-14 21:56:17.455071
4;12345678;2:0;1200;2024-03-14 21:56:17.955478
5;12345678;2:0;1200;2024-03-14 21:56:18.456330
6;12345678;2:0;1200;2024-03-14 21:56:18.956630
7;12345678;2:0;1200;2024-03-14 21:56:19.457226
8;12345678;2:0;1200;2024-03-14 21:56:19.957987
9;12345678;2:0;1200;2024-03-14 21:56:20.458404
10;12345678;2:0;1200;2024-03-14 21:56:20.958660
11;12345678;2:0;1200;2024-03-14 21:56:21.459125
12;12345678;2:0;1200;2024-03-14 21:56:21.959696
13;12345678;2:0;1200;2024-03-14 21:56:22.460465
14;12345678;2:0;1200;2024-03-14 21:56:22.960756
15;12345678;2:0;1200;2024-03-14 21:56:23.461512
16;12345678;2:0;1200;2024-03-14 21:56:23.962106
17;12345678;2:0;1200;2024-03-14 21:56:24.462595
18;12345678;2:0;1200;2024-03-14 21:56:24.963001
19;12345678;2:0;1200;2024-03-14 21:56:25.463843
20;12345678;2:0;1200;2024-03-14 21:56:25.965508
21;12345678;2:0;1200;2024-03-14 21:56:26.466156
22;12345678;2:0;1200;2024-03-14 21:56:26.966331
23;12345678;2:0;1200;2024-03-14 21:56:27.467189
24;12345678;2:0;1200;2024-03-14 21:56:27.968951
25;12345678;2:0;1200;2024-03-14 21:56:28.469407
26;12345678;2:0;1200;2024-03-14 21:56:28.969606
27;12345678;2:0;1200;2024-03-14 21:56:29.470480
28;12345678;2:0;1200;2024-03-14 21:56:29.970845
29;12345678;2:0;1200;2024-03-14 21:56:30.472024
30;12345678;2:0;1200;2024-03-14 21:56:30.972319
31;12345678;2:0;1200;2024-03-14 21:56:31.473387
32;12345678;2:0;1200;2024-03-14 21:56:31.973457
33;12345678;2:0;1200;2024-03-14 21:56:32.474096
34;12345678;2:0;1200;2024-03-14 21:56:32.974642
35;12345678;2:0;1200;2024-03-14 21:56:33.475196
36;12345678;2:0;1200;2024-03-14 21:56:33.975858
37;12345678;2:0;1200;2024-03-14 21:56:34.476281
38;12345678;2:0;1200;2024-03-14 21:56:34.977153
39;12345678;2:0;1200;2024-03-14 21:56:35.477992
40;12345678;2:0;1200;2024-03-14 21:56:35.978273
41;12345678;2:0;1200;2024-03-14 21:56:36.479216
42;12345678;2:0;1200;2024-03-14 21:56:36.979353
43;12345678;2:0;1200;2024-03-14 21:56:37.479739
44;12345678;2:0;1200;2024-03-14 21:56:37.980097
45;12345678;2:0;1200;2024-03-14 21:56:38.480900
46;12345678;2:0;1200;2024-03-14 21:56:38.981356
47;12345678;2:0;1200;2024-03-14 21:56:39.482401
48;12345678;2:0;1200;2024-03-14 21:56:39.982663
49;12345678;2:0;1200;2024-03-14 21:56:40.483258
50;12345678;2:0;1200;2024-03-14 21:56:40.983769
51;12345678;2:0;1200;2024-03-14 21:56:41.484449
52;12345678;2:0;1200;2024-03-14 21:56:41.984606
53;12345678;2:0;1200;2024-03-14 21:56:42.485076
54;12345678;2:0;1200;2024-03-14 21:56:42.985305
55;12345678;2:0;1200;2024-03-14 21:56:43.486354
56;12345678;2:0;1200;2024-03-14 21:56:43.987001
57;12345678;2:0;1200;2024-03-14 21:56:44.487698
58;12345678;2:0;1200;2024-03-14 21:56:44.987815
59;12345678;2:0;1200;2024-03-14 21:56:45.488705
60;12345678;2:0;1200;2024-03-14 21:56:45.989284
61;12345678;2:0;1200;2024-03-14 21:56:46.490123
62;12345678;2:0;1200;2024-03-14 21:56:46.990454
63;12345678;2:0;1200;2024-03-14 21:56:47.490914
64;12345678;2:0;1200;2024-03-14 21:56:47.992136
65;12345678;2:0;1200;2024-03-14 21:56:48.492908
66;12345678;2:0;1200;2024-03-14 21:56:48.993406
67;12345678;2:0;1200;2024-03-14 21:56:49.494132
68;12345678;2:0;1200;2024-03-14 21:56:49.995016
69;12345678;2:0;1200;2024-03-14 21:56:50.495254
70;12345678;2:0;1200;2024-03-14 21:56:50.995953
71;12345678;2:0;1200;2024-03-14 21:56:51.497060
72;12345678;2:0;1200;2024-03-14 21:56:51.997718
73;12345678;2:0;1200;2024-03-14 21:56:52.498614
74;12345678;2:0;1200;2024-03-14 21:56:52.999540
75;12345678;2:0;1200;2024-03-14 21:56:53.500130
76;12345678;2:0;1200;2024-03-14 21:56:54.001294
77;12345678;2:0;1200;2024-03-14 21:56:54.501604
78;12345678;2:0;1200;2024-03-14 21:56:55.002167
79;12345678;2:0;1200;2024-03-14 21:56:55.502750
80;12345678;2:0;1200;2024-03-14 21:56:56.003712
81;12345678;2:0;1200;2024-03-14 21:56:56.504350
82;12345678;2:0;1200;2024-03-14 21:56:57.005367
83;12345678;2:0;1200;2024-03-14 21:56:57.506389
84;12345678;2:0;1200;2024-03-14 21:56:58.006739
85;12345678;2:0;1200;2024-03-14 21:56:58.507575
86;12345678;2:0;1200;2024-03-14 21:56:59.008585
87;12345678;2:0;1200;2024-03-14 21:56:59.509184
88;12345678;2:0;1200;2024-03-14 21:57:00.009876
89;12345678;2:0;1200;2024-03-14 21:57:00.510604
90;12345678;2:0;1200;2024-03-14 21:57:01.010716
91;12345678;2:0;1200;2024-03-14 21:57:01.511467
92;12345678;2:0;1200;2024-03-14 21:57:02.012304
93;12345678;2:0;1200;2024-03-14 21:57:02.513341
94;12345678;2:0;1200;2024-03-14 21:57:03.014205
95;12345678;2:0;1200;2024-03-14 21:57:03.515049
96;12345678;2:0;1200;2024-03-14 21:57:04.015791
97;12345678;2:0;1200;2024-03-14 21:57:04.516407
98;12345678;2:0;1200;2024-03-14 21:57:05.017353
99;12345678;2:0;1200;2024-03-14 21:57:05.517900
